grid side,n quadrants,n pairs per quadrant,n agents,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,150,1500,750,-1,10,0,30.252755207940936,[0.35919039882719517],[29.89356480911374],OPTIMAL,234.0,234.0,2,"[750, 750]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0075855104702599,"[0.245966630293424, 0.431484272550062]","[184.474972720068, 323.6132044125465]","[2.45, 2.35]",508.08817713261465,2.45,1.1368683772161605e-13,7.579122514774402e-17,2.237541490592866e-16,"[0.11666569299995899, 0.21967513673007488]","[7.529463369399309, 20.486541341990232]",,,,,234.0,234.0,28.974463865160946,0.0,1.0441178600828924
40,2,150,1500,750,-1,10,1,16.518697982653975,[0.34893522784113884],[16.169762754812837],OPTIMAL,215.0,215.0,2,"[750, 750]",1.0,"[1.0, 1.0]",1.0,0.0,0.0070631555202167,"[0.23809814301712598, 0.2563011297162428]","[178.5736072628445, 192.2258472871821]","[1.9136363636363636, 2.1196969696969696]",370.7994545500264,2.1196969696969696,0.0,0.0,0.0,"[0.12190774641931057, 0.23407936096191406]","[8.076987003907561, 3.5699793845415115]",,,,,215.0,215.0,12.484447056427598,0.0,1.323142139014427
40,2,150,1500,750,-1,10,2,188.6291636619717,"[0.366485171020031, 0.5503089260309935]","[2.574884435161948, 185.13748512975872]",OPTIMAL,193.0,193.0,2,"[750, 750]",0.9999584337256622,"[0.9999153345313274, 0.9999183525164221]",0.9999153345313274,3.351449275362319e-06,0.0060569753405937,"[0.05968944897377393, 0.15860548714782124]","[44.76708673033045, 118.95411536086593]","[1.5166666666666666, 1.9320802005012532]",163.72120209119632,1.9320802005012527,0.0,0.0,0.0,"[0.3132894355803728, 0.30094931088387966]","[22.04777197726071, 5.6868618074804544]",,,,,193.0,193.0,28.926024615764614,0.0,6.52108840283463
40,2,150,1500,750,-1,10,3,235.31050206534564,[0.3751517981290817],[234.93535026721656],OPTIMAL,242.0,242.0,2,"[750, 750]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0054756410676082,"[0.4644326413025261, 0.420241413775722]","[348.32448097689456, 315.1810603317915]","[2.159090909090909, 2.2842105263157895]",663.5055413086858,2.284210526315789,0.0,0.0,0.0,"[0.12268057651817799, 0.25565797835588455]","[78.48630117997527, 189.18557587638497]",,,,,242.0,242.0,268.58761330135167,0.0,0.8761033287165423
40,2,150,1500,750,-1,10,4,32.72816956602037,[0.3590406905859709],[32.3691288754344],OPTIMAL,238.0,238.0,2,"[750, 750]",1.0,"[1.0, 1.0]",1.0,0.0,0.0057949238798464,"[0.26397042628168954, 0.4572150442150443]","[197.97781971126716, 342.9112831612832]","[2.404166666666667, 2.463636363636364]",540.8891028725503,2.463636363636364,0.0,0.0,0.0,"[0.11967134475708008, 0.2479962296783924]","[1.4351928606629372, 14.433095311746001]",,,,,238.0,238.0,16.778285203501582,0.0,1.950626608682876
40,4,150,3000,750,-1,10,5,446.36150494776666,"[0.7484669256955385, 0.9722025580704212]","[0.42028639651834965, 444.22054906748235]",OPTIMAL,419.0,419.0,4,"[750, 750, 750, 750]",1.0000000000000002,"[1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.006315651434777,"[0.1706362172449129, 0.11948143704121963, 0.23362555694792525, 0.3283539299500397]","[127.97716293368467, 89.61107778091473, 175.21916771094394, 246.26544746252978]","[1.73125, 1.79375, 2.0645833333333328, 2.6333333333333324]",639.072855888074,2.6333333333333324,7.958078640513122e-13,2.652692880171041e-16,1.245253740192407e-15,"[0.3500874023884535, 0.15762425400316715, 0.36051840148866177, 0.1511284913867712]","[216.27313453145325, 40.36687325313687, 34.92219378426671, 97.2620533183217]",,,,,419.0,419.0,390.84878708049655,0.0,1.1420311887928083
40,4,150,3000,750,-1,10,6,255.50514907203612,[0.8124072141945362],[254.6927418578416],OPTIMAL,526.0,526.0,4,"[750, 750, 750, 750]",0.9999698118822204,"[1.0, 1.0, 0.9998760719287749, 0.9998868540430896]",0.9998760719287748,1.136145054163162e-05,0.0047180340059297,"[0.3127556974970659, 0.3671908875724665, 0.34415347366198756, 0.4736273470270473]","[234.56677312279942, 275.39316567934986, 258.11510524649066, 355.22051027028544]","[2.1558823529411764, 2.172727272727273, 2.1, 2.5045454545454544]",1123.2955543189253,2.5045454545454544,0.0,0.0,0.0,"[0.3235492017120123, 0.12189898267388344, 0.3166335094720125, 0.11427571810781956]","[5.074476838111877, 7.392431281507015, 7.1774049792438745, 128.25711124390364]",,,,,526.0,526.0,149.75088002718985,0.0,1.7062013193220953
40,4,150,3000,750,-1,10,7,382.4087778348476,[0.7964628599584103],[381.61231497488916],OPTIMAL,403.0,403.0,4,"[750, 750, 750, 750]",0.9999905375831196,"[0.9999863836988503, 0.9999852915985552, 0.9999766231855717, 0.9999752875873699]",0.99997528758737,2.151141040029929e-06,0.0068792986196534,"[0.34647100195064257, 0.2827164503882769, 0.2506307564411279, 0.22605240959428952]","[259.8532514629819, 212.0373377912077, 187.97306733084594, 169.53930719571713]","[1.8, 2.4, 2.172727272727273, 2.2944664031620556]",829.4029637807525,2.4,0.0,0.0,0.0,"[0.317680099979043, 0.11330720037221909, 0.1167333610355854, 0.31899925880134106]","[81.63353064283729, 14.834666937589645, 2.7560755889862776, 12.888079462572932]",,,,,403.0,403.0,113.95689485408366,0.0,3.355731817056824
40,4,150,3000,750,-1,10,8,52.78060053102672,[0.7983152158558369],[51.982285315170884],OPTIMAL,429.0,429.0,4,"[750, 750, 750, 750]",0.9999972634396376,"[1.0, 1.0, 0.9999895499389422, 0.9999888514803172]",0.9999888514803172,1.0351966873706004e-06,0.0075785199399509,"[0.22507919492787906, 0.30099779547651057, 0.4047263100539451, 0.33731066237372603]","[168.8093961959093, 225.74834660738293, 303.5447325404588, 252.98299678029454]","[1.868181818181818, 1.95, 2.7636363636363637, 2.1772727272727272]",951.0854721240454,2.763636363636364,0.0,0.0,0.0,"[0.32576525025069714, 0.12401400692760944, 0.11289812810719013, 0.31485586427152157]","[16.70101205445826, 3.178888453170657, 10.945723723620176, 32.55086365900934]",,,,,429.0,429.0,65.23506416194141,0.0,0.809083292997193
40,4,150,3000,750,-1,10,9,53.86143920011818,[0.8281630333513021],[53.03327616676688],OPTIMAL,374.0,374.0,4,"[750, 750, 750, 750]",0.9999999999999996,"[1.0, 1.0, 1.0, 1.0]",1.0,0.0,0.0046602261552461,"[0.2908839316565289, 0.3436279532182917, 0.31906550922417803, 0.25612853676824276]","[218.1629487423967, 257.7209649137188, 239.29913191813353, 192.09640257618207]","[1.8601010101010105, 2.2578947368421054, 2.15, 2.05]",907.2794481504304,2.2578947368421054,0.0,0.0,0.0,"[0.3323084283620119, 0.12364738807082176, 0.11286579631268978, 0.3357838876545429]","[15.219846740365028, 13.793457314372063, 5.684681745246053, 3.6262515895068645]",,,,,374.0,374.0,40.23080130107701,0.0,1.338810997002843
