grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,10,1.5185875052120537,[0.3141297360416502],[1.2044577691704035],OPTIMAL,69.0,69.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0133481294095895,"[0.18551942802639393, 0.15948141843536578]","[92.75971401319697, 79.74070921768289]","[1.85, 2.140909090909091]",172.5004232308799,2.140909090909091,5.684341886080804e-14,5.684341886080802e-17,3.2952625736110515e-16,"[0.21822122600860894, 0.08823501411825418]","[0.5676330758724362, 0.43838828592561185]",,,,,,69.0,69.0,1.6051016377750784,0.0,0.9461005268906542
40,2,100,1000,5,500,-2,10,11,0.5239213728345931,[0.19090094999410212],[0.33302042284049094],OPTIMAL,64.0,64.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0075050212350046,"[0.09025071986836693, 0.06212484213413005]","[45.125359934183464, 31.062421067065024]","[1.9, 1.5996503496503496]",76.1877810012485,1.9,1.4210854715202004e-14,1.4210854715202004e-17,1.8652406630378962e-16,"[0.22130508394911885, 0.09351983899250627]","[0.10575885302387178, 0.22415842209011316]",,,,,,64.0,64.0,0.9351499108597636,0.0,0.5602538873718195
40,2,100,1000,5,500,-2,10,12,2.956702016759664,[0.1806905479170382],[2.7760114688426256],OPTIMAL,95.0,95.0,2,"[500, 500]",0.9999999999999998,"[1.0, 1.0]",1.0,0.0,0.0100062447117027,"[0.2203237644708232, 0.15992546908547553]","[110.1618822354116, 79.96273454273776]","[2.1165413533834583, 2.2537433155080215]",190.1246167781493,2.253743315508021,0.0,0.0,0.0,"[0.22184062283486128, 0.08204748202115297]","[1.843856604071334, 0.9730101081077009]",,,,,,95.0,95.0,3.4167089890688658,0.0,0.8653654807064606
40,2,100,1000,5,500,-2,10,13,0.5324157599825412,[0.18882780894637108],[0.3435879510361701],OPTIMAL,85.0,85.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0087499001718055,"[0.12059107873438539, 0.16671858288770056]","[60.295539367192696, 83.35929144385028]","[1.85, 1.7]",143.65483081104298,1.85,0.0,0.0,0.0,"[0.23033693293109536, 0.09169366117566824]","[0.11591507797129452, 0.2553655728697777]",,,,,,85.0,85.0,0.9872013260610402,0.0,0.5393183193005772
40,2,100,1000,5,500,-2,10,14,0.9570545500610024,[0.19426185614429414],[0.7627926939167082],OPTIMAL,85.0,85.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.009840300297553,"[0.13598840486998381, 0.136628027481709]","[67.9942024349919, 68.31401374085449]","[2.05, 1.9944444444444442]",136.30821617584638,2.05,0.0,0.0,0.0,"[0.23999815015122294, 0.1794182879384607]","[0.5307755491230637, 0.20337520097382367]",,,,,,85.0,85.0,1.4514026020187885,0.0,0.65939977558936
40,2,100,1000,5,500,-2,10,15,1.273854895029217,[0.1831664911005646],[1.0906884039286524],OPTIMAL,94.0,94.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0087077992405453,"[0.14259487761008818, 0.17574494984420613]","[71.2974388050441, 87.87247492210307]","[1.718181818181818, 2.1]",159.1699137271472,2.1,2.8421709430404014e-14,2.842170943040401e-17,1.785620709636534e-16,"[0.22516150982119143, 0.09057768899947405]","[0.8664928160142154, 0.4234062749892473]",,,,,,94.0,94.0,1.9049302036874,0.0,0.6687147343054347
40,2,100,1000,5,500,-2,10,16,2.096858363132924,[0.17962806508876383],[1.91723029804416],OPTIMAL,116.0,116.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0120749354283131,"[0.05408750750023971, 0.22996292089403547]","[27.043753750119855, 114.98146044701774]","[1.55, 2.167145135566188]",142.0252141971376,2.167145135566188,0.0,0.0,0.0,"[0.2147389540914446, 0.08978158794343472]","[0.08484578505158424, 2.032291206996888]",,,,,,116.0,116.0,2.719792313175276,0.0,0.770962677177694
40,2,100,1000,5,500,-2,10,17,1.958711567800492,[0.4042590919416398],[1.5544524758588523],OPTIMAL,90.0,90.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0082151334335805,"[0.1642490455973933, 0.18443956799993957]","[82.12452279869666, 92.21978399996979]","[1.8153846153846154, 1.7863636363636364]",174.3443067986664,1.815384615384616,0.0,0.0,0.0,"[0.09302266407757998, 0.09161553694866598]","[0.15946392505429685, 2.4053283932153136]",,,,,,90.0,90.0,3.1615035510621965,0.0,0.6195506461292468
40,2,100,1000,5,500,-2,10,18,1.2565306099131703,[0.31173208309337497],[0.9447985268197954],OPTIMAL,81.0,81.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0065507627697324,"[0.19792625546108517, 0.13828582167746256]","[98.96312773054258, 69.14291083873128]","[2.15, 1.9842105263157894]",168.1060385692739,2.15,2.8421709430404014e-14,2.842170943040401e-17,1.6907012783198026e-16,"[0.0988070189487189, 0.2246221189852804]","[0.3322332079987973, 0.8551237189676613]",,,,,,81.0,81.0,1.7995048358570784,0.0,0.69826464751605
40,2,100,1000,5,500,-2,10,19,1.4825561379548162,[0.32201967015862465],[1.1605364677961916],OPTIMAL,97.0,97.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.014397563437106,"[0.1280760791141226, 0.14900520986600035]","[64.03803955706131, 74.50260493300017]","[1.8636363636363638, 2.4467914438502674]",138.54064449006148,2.446791443850268,0.0,0.0,0.0,"[0.08461534813977778, 0.2246406979393214]","[0.6783314689528197, 0.6144540160894394]",,,,,,97.0,97.0,1.8963489851448685,0.0,0.7817949910952486
