n,seed,time
50,0,0.1849854625761509
50,1,0.08259883336722851
50,2,0.08598577231168747
50,3,0.08642469719052315
50,4,0.0722123347222805
50,5,0.09889840334653854
50,6,0.09467842802405357
50,7,0.15655601769685745
50,8,0.07385616935789585
50,9,0.17876091599464417
55,10,0.10394559241831303
55,11,0.16006123833358288
55,12,0.10570907779037952
55,13,0.18334064446389675
55,14,0.09433387406170368
55,15,0.07544555142521858
55,16,0.09747965820133686
55,17,0.2840460203588009
55,18,0.14984236471354961
55,19,0.18891130574047565
60,20,0.1036063190549612
60,21,0.18026474490761757
60,22,0.11051466315984726
60,23,0.11681457608938217
60,24,0.08177249319851398
60,25,0.12214943766593933
60,26,0.19351904466748238
60,27,0.11866183578968048
60,28,0.2015707977116108
60,29,0.0885524433106184
65,30,0.19752193614840508
65,31,0.10726560279726982
65,32,0.1820874698460102
65,33,0.1066836267709732
65,34,0.12378455325961113
65,35,0.3108380287885666
65,36,0.10373365506529808
65,37,0.21749090403318405
65,38,0.1424113418906927
65,39,0.22508853301405907
70,40,0.27216511592268944
70,41,0.1541704684495926
70,42,0.24321535974740982
70,43,0.11653258465230465
70,44,0.1410172525793314
70,45,0.198216013610363
70,46,0.10523280873894691
70,47,0.22889947518706322
70,48,0.10349320992827415
70,49,0.1433364525437355
75,50,0.2560228370130062
75,51,0.14444010891020298
75,52,0.23516270704567432
75,53,0.21535123512148857
75,54,0.1340466272085905
75,55,0.18574155494570732
75,56,0.23346353508532047
75,57,0.19254543259739876
75,58,0.22057249024510384
75,59,0.14010577090084553
80,60,0.17099884524941444
80,61,0.23860863409936428
80,62,0.2482727561146021
80,63,0.14810611680150032
80,64,0.23800747096538544
80,65,0.44502145051956177
80,66,0.13599169626832008
80,67,0.28623844496905804
80,68,0.2159308809787035
80,69,0.14088215492665768
85,70,0.1422116458415985
85,71,0.44999517872929573
85,72,0.2510493714362383
85,73,0.17400932684540749
85,74,0.23727657832205296
85,75,0.2934996895492077
85,76,0.16142285987734795
85,77,0.2644907385110855
85,78,0.22708570957183838
85,79,0.13976840488612652
90,80,0.19920185953378677
90,81,0.28298978693783283
90,82,0.33993931859731674
90,83,0.173342389985919
90,84,0.23156718909740448
90,85,0.2703995443880558
