grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,10,1.6075773080810905,[0.26714305696077645],[1.340434251120314],OPTIMAL,69.0,69.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.01298085141838317,"[0.185519428026394, 0.15948141843536578]","[92.75971401319701, 79.74070921768289]","[1.85, 2.140909090909091]",172.50042323087996,2.140909090909091,5.684341886080802e-14,5.684341886080802e-17,3.2952625736110505e-16,"[0.09263479802757502, 0.19555975100956857]","[0.9655172009952366, 0.40216298191808164]",,,,,,69.0,69.0,2.089337360113859,0.0,0.7694196919895622
40,2,100,1000,5,500,-2,10,11,0.6319110598415136,[0.28288853890262544],[0.3490225209388882],OPTIMAL,64.0,64.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.006434020333286208,"[0.09025071986836693, 0.06212484213413006]","[45.125359934183464, 31.06242106706503]","[1.9, 1.5996503496503496]",76.18778100124851,1.9,1.4210854715202004e-14,1.4210854715202004e-17,1.865240663037896e-16,"[0.19741358095780015, 0.0889165869448334]","[0.11221953178755939, 0.5368368928320706]",,,,,,64.0,64.0,1.284175029490143,0.0,0.4920754923045044
40,2,100,1000,5,500,-2,10,12,3.065508337924257,[0.3508267840370536],[2.7146815538872033],OPTIMAL,95.0,95.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.008053155802414134,"[0.1599254690854755, 0.22032376447082327]","[79.96273454273775, 110.16188223541164]","[2.2537433155080215, 2.1165413533834587]",190.12461677814946,2.2537433155080215,5.684341886080802e-14,5.684341886080802e-17,2.9897979453569586e-16,"[0.08178978809155524, 0.20372496894560754]","[0.8050208638887852, 2.4528636881150305]",,,,,,95.0,95.0,3.8923338109161705,0.0,0.7875759086558671
40,2,100,1000,5,500,-2,10,13,0.6661887711379677,[0.2835651070345193],[0.3826236641034484],OPTIMAL,85.0,85.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.007569294128010591,"[0.16671858288770053, 0.12059107873438538]","[83.35929144385027, 60.29553936719269]","[1.7, 1.85]",143.65483081104298,1.85,2.842170943040401e-14,2.842170943040401e-17,1.9784722358269166e-16,"[0.11008553300052881, 0.24258683109655976]","[0.3929963279515505, 0.13731389795430005]",,,,,,85.0,85.0,1.235111730871722,0.0,0.5393753087162263
40,2,100,1000,5,500,-2,10,14,1.3971253079362214,[0.27763598086312413],[1.1194893270730972],OPTIMAL,85.0,85.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.008536991620217012,"[0.13662802748170902, 0.13598840486998384]","[68.3140137408545, 67.99420243499192]","[1.9944444444444442, 2.05]",136.3082161758464,2.05,0.0,0.0,0.0,"[0.328954627038911, 0.08664712798781693]","[0.16261787107214332, 0.6233136090449989]",,,,,,85.0,85.0,1.7649247914087027,0.0,0.7916061436369102
40,2,100,1000,5,500,-2,10,15,1.5152804059907794,[0.2615689330268651],[1.2537114729639143],OPTIMAL,94.0,94.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0075784986918289235,"[0.14259487761008827, 0.17574494984420613]","[71.29743880504414, 87.87247492210307]","[1.718181818181818, 2.1]",159.16991372714722,2.1,0.0,0.0,0.0,"[0.08977451780810952, 0.19080134807154536]","[0.6618991838768125, 0.6447745449841022]",,,,,,94.0,94.0,1.9845906558912247,0.0,0.7635228965190854
40,2,100,1000,5,500,-2,10,16,2.0924283179920167,[0.26802918198518455],[1.8243991360068321],OPTIMAL,116.0,116.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.009755028510955895,"[0.054087507500239704, 0.22996292089403542]","[27.04375375011985, 114.98146044701771]","[1.55, 2.167145135566188]",142.0252141971376,2.167145135566188,2.842170943040401e-14,2.842170943040401e-17,2.0011734952043967e-16,"[0.18350333394482732, 0.08378297789022326]","[0.0839538611471653, 1.0569043210707605]",,,,,,116.0,116.0,1.7533967341296375,0.0,1.1933570293951015
40,2,100,1000,5,500,-2,10,17,2.119722474133596,[0.29011153196915984],[1.829610942164436],OPTIMAL,90.0,90.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.00918900094486031,"[0.16424904559739334, 0.1844395679999396]","[82.12452279869667, 92.2197839999698]","[1.8153846153846154, 1.7863636363636364]",174.34430679866637,1.8153846153846154,0.0,0.0,0.0,"[0.19409422809258103, 0.09024074696935713]","[0.14858082705177367, 1.8775805230252445]",,,,,,90.0,90.0,2.680050768190995,0.0,0.7909262388952376
40,2,100,1000,5,500,-2,10,18,1.3246424640528858,[0.27147427201271057],[1.0531681920401752],OPTIMAL,81.0,81.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.005588998418681568,"[0.19792625546108514, 0.13828582167746256]","[98.96312773054257, 69.14291083873128]","[2.15, 1.9842105263157894]",168.1060385692739,2.15,5.684341886080802e-14,5.684341886080802e-17,3.381402556639605e-16,"[0.08495125500485301, 0.19720067596063018]","[0.18813667399808764, 0.9252128589432687]",,,,,,81.0,81.0,1.766474808799103,0.0,0.7498790571224808
40,2,100,1000,5,500,-2,10,19,1.4469380129594356,[0.2631023300345987],[1.1838356829248369],OPTIMAL,97.0,97.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.012075186146212325,"[0.12807607911412264, 0.1490052098660004]","[64.03803955706132, 74.5026049330002]","[1.8636363636363638, 2.4467914438502674]",138.54064449006148,2.4467914438502674,0.0,0.0,0.0,"[0.08008915302343667, 0.18895939900539815]","[0.6959869181737304, 0.6662268759682775]",,,,,,97.0,97.0,1.9851119762752205,0.0,0.7288949088274649
