n,median,Q1,Q3
50,0.01434458978474135,0.0119454762898385,0.01659548655152315
75,0.0226404564455151,0.0214482676237821,0.03268659906461828
100,0.0407537296414375,0.03169807558879253,0.051345407962799024
125,0.06415431573987004,0.0582824680022895,0.0709626679308712
150,0.048470992594957296,0.04107929719611995,0.053558694198727524
175,0.09038494434207675,0.08218456385657184,0.10617190273478622
200,0.13634804822504515,0.11677123932167888,0.1893043792806565
225,0.19716982543468475,0.16473176097497338,0.2128015295602381
250,0.2165888231247663,0.19738142238929862,0.277249586302787
275,0.2100051483139395,0.18063272861763835,0.27422691229730844
300,0.19959759153425688,0.17640230478718874,0.2138538183644413
325,0.2440774142742157,0.22201985772699112,0.3052012571133673
350,0.33520345762372017,0.31052774703130126,0.42405154043808574
375,0.40447650756686926,0.2915121531113982,0.5518787866458297
400,0.47057580295950174,0.4106687428429722,0.6811534175649285
425,0.6194156967103481,0.5081229861825705,0.8574730479158461
450,0.47284665144979954,0.39803332882001996,0.7901431606151164
475,0.562981846742332,0.493345427326858,0.6854289770126343
500,0.7575789811089635,0.7120519685558975,0.8452495876699686
525,0.7976699648424983,0.7578724250197411,0.87855578167364
550,1.0268895011395216,0.8793925722129643,4.216745464596897
575,4.14043446816504,1.676840042695403,9.440686574671417
600,1.132727898657322,0.5232737706974149,1.5374155789613724
625,1.2054045675322413,0.9075513891875744,5.563549077138305
650,1.119569769129157,1.0043432363308968,2.25401349645108
675,5.422504657879472,1.6689698752015831,79.79684546636419
700,2.1905004754662514,1.9830945669673383,404.33139044465497
725,13.233301152475178,4.417673264630139,23.828547539189458
750,3.1301764082163572,2.3302951715886593,7.11064392561093
775,17.588322448544204,1.3775725439190865,1800.0685289115645
800,6.598255491815507,2.960188772063702,1800.0622166837566
825,1800.0671631023288,6.220747500192374,1800.0751719330437
850,905.3842151770368,2.8287722198292613,1800.0702263293788
875,35.38444620091468,16.50419090827927,573.3885376253165
900,4.571528105996549,1.7948990492150187,12.116580632515253
925,11.411952403374016,6.348114039283246,1800.0693883136846
950,1800.0738172270358,1800.0687430179678,1800.0831512976438
975,919.8557806229219,20.558087312150747,1800.0776978502981
1000,42.14735912438482,13.71478666877374,1800.069021711126
1025,43.378136813640594,16.228205541148782,79.05146083794534
1050,35.525067013688385,16.763063178863376,72.92692506080493
1075,1800.069355503656,23.345060833729804,1800.0876814932562
1100,1380.4034164724872,48.099919946398586,1800.0740720340982
1125,1800.0701532680541,20.44712358759716,1800.0794118195772
1150,959.5373865868896,48.394919708836824,1800.0849436684512
1175,24.53134822845459,15.748014696408065,127.75765824783593
1200,69.55344119574875,37.88917027506977,146.01854853099212
1225,1800.0811746967956,38.14333626255393,1800.0839565955102
1250,1800.0789428604767,482.9358315211721,1800.0892703807913
1275,1800.083939384669,70.96677093068138,1800.0939288013615
