grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,10,1.4143286771140993,[0.27557436004281044],[1.1387543170712888],OPTIMAL,69.0,69.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0136958540743291,"[0.18551942802639398, 0.15948141843536578]","[92.759714013197, 79.74070921768289]","[1.85, 2.140909090909091]",172.50042323087993,2.140909090909091,2.8421709430404014e-14,2.842170943040401e-17,1.6476312868055255e-16,"[0.18642297992482781, 0.08794343494810164]","[0.6664891568943858, 0.27005840209312737]",,,,,,69.0,69.0,1.5095413466915488,0.0,0.9369260936203394
40,2,100,1000,5,500,-2,10,11,0.5989269181154668,[0.261803942034021],[0.3371229760814458],OPTIMAL,64.0,64.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0069494767468044,"[0.09025071986836691, 0.06212484213413006]","[45.12535993418346, 31.06242106706503]","[1.9, 1.5996503496503496]",76.18778100124848,1.9,0.0,0.0,0.0,"[0.19098237110301852, 0.09065241599455476]","[0.10200688405893743, 0.22647945606149733]",,,,,,64.0,64.0,0.906392491189763,0.0,0.6607809794731354
40,2,100,1000,5,500,-2,10,12,2.813114305026829,[0.2638676499482244],[2.549246655078605],OPTIMAL,95.0,95.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0088395103817303,"[0.22032376447082325, 0.15992546908547547]","[110.16188223541162, 79.96273454273773]","[2.1165413533834583, 2.2537433155080215]",190.1246167781493,2.253743315508021,0.0,0.0,0.0,"[0.09111795015633106, 0.18484776397235692]","[1.9162109298631549, 0.4814746859483421]",,,,,,95.0,95.0,2.972681647632271,0.0,0.9463220884306476
40,2,100,1000,5,500,-2,10,13,0.6252315100282431,[0.28039033408276737],[0.3448411759454757],OPTIMAL,85.0,85.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0081514672555354,"[0.12059107873438539, 0.16671858288770053]","[60.295539367192696, 83.35929144385027]","[1.85, 1.7]",143.65483081104298,1.85,2.8421709430404014e-14,2.842170943040401e-17,1.9784722358269168e-16,"[0.08928718301467597, 0.19407360488548875]","[0.1216391280759126, 0.23052549990825355]",,,,,,85.0,85.0,0.938445258885622,0.0,0.6662418549278925
40,2,100,1000,5,500,-2,10,14,1.0314026470296085,[0.2715822260361165],[0.759820420993492],OPTIMAL,85.0,85.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0092111738208852,"[0.136628027481709, 0.13598840486998384]","[68.31401374085449, 67.99420243499192]","[1.9944444444444442, 2.05]",136.3082161758464,2.05,0.0,0.0,0.0,"[0.09142029215581715, 0.08763162582181394]","[0.1307758002076298, 0.4787468670401722]",,,,,,85.0,85.0,1.182906896341592,0.0,0.8719220846707845
40,2,100,1000,5,500,-2,10,15,1.3775800040457398,[0.2898956600110978],[1.087684344034642],OPTIMAL,94.0,94.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0081571911944139,"[0.14259487761008824, 0.17574494984420613]","[71.29743880504412, 87.87247492210307]","[1.718181818181818, 2.1]",159.16991372714725,2.1,5.684341886080804e-14,5.684341886080802e-17,3.5712414192730667e-16,"[0.08652793895453215, 0.19372436706908047]","[0.4316128098871559, 0.26728751696646214]",,,,,,94.0,94.0,1.283296630019322,0.0,1.0734696654077538
40,2,100,1000,5,500,-2,10,16,1.777360389009118,[0.26989295799285173],[1.5074674310162663],OPTIMAL,116.0,116.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0106736118995423,"[0.22996292089403544, 0.05408750750023971]","[114.98146044701772, 27.043753750119855]","[2.167145135566188, 1.55]",142.0252141971375,2.167145135566188,0.0,0.0,0.0,"[0.18983554909937084, 0.0798969310708344]","[1.7615998811088502, 0.11769901285879314]",,,,,,116.0,116.0,2.449819868430496,0.0,0.7255065614876428
40,2,100,1000,5,500,-2,10,17,1.8280146408360447,[0.2697713209781796],[1.5582433198578656],OPTIMAL,90.0,90.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0086598980841519,"[0.18443956799993957, 0.1642490455973933]","[92.21978399996979, 82.12452279869666]","[1.7863636363636364, 1.8153846153846154]",174.3443067986664,1.815384615384616,0.0,0.0,0.0,"[0.0897525860927999, 0.09044749895110726]","[0.9327080340590328, 0.16104407398961484]",,,,,,90.0,90.0,1.6683281452860683,0.0,1.0957164788001557
40,2,100,1000,5,500,-2,10,18,1.1762623579706997,[0.27242948999628425],[0.9038328679744154],OPTIMAL,81.0,81.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0060089789634452,"[0.19792625546108517, 0.1382858216774626]","[98.96312773054258, 69.1429108387313]","[2.15, 1.9842105263157894]",168.10603856927386,2.15,0.0,0.0,0.0,"[0.08385932305827737, 0.1922458230983466]","[0.37211766513064504, 0.706665470963344]",,,,,,81.0,81.0,1.65829185442999,0.0,0.7093216762950453
40,2,100,1000,5,500,-2,10,19,1.410731230862439,[0.26561553799547255],[1.1451156928669661],OPTIMAL,97.0,97.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0132618939172834,"[0.12807607911412258, 0.14900520986600033]","[64.0380395570613, 74.50260493300016]","[1.8636363636363638, 2.4467914438502674]",138.54064449006148,2.446791443850268,2.8421709430404014e-14,2.842170943040401e-17,2.0515069447535128e-16,"[0.07918510306626558, 0.1941716130822897]","[0.5998374349437654, 0.4018637100234628]",,,,,,97.0,97.0,1.5753264443483204,0.0,0.8955167583986243
