grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,normalized macro components,max eigengap,clustering distortion ratio,absorption rate,forced fragmentation,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,status heuristic,time heuristic,gap,speedup
40,4,130,2600,5,520,-1,10,10,77.32385268108919,[0.6161452340893447],[76.70770744699985],OPTIMAL,380.0,380.0,7,"[435, 415, 405, 400, 355, 210, 380]",0.8366807735877098,"[0.8783351760153525, 0.7785523777901806, 0.5945159185087054, 0.7494000133297589, 0.7561147232948277, 0.515332115358151, 0.5478105558839308]",0.515332115358151,0.0723022990001629,0.0036450932512443,"[0.6506596695424678, 0.43969723892958823, 0.2572758349545116, 0.23899743193976392, 0.4825590899008111, 0.18114683897152614, 0.16687936290745928]","[283.0369562509735, 182.4743541557791, 104.1967131565772, 95.59897277590557, 171.30847691478795, 38.04083618402049, 63.414157904834525]","[2.415858888855007, 2.74023767648688, 2.5884460712091455, 1.8, 2.398764013094682, 1.7893567243807056, 2.0816727670342945]",1151.3132597544156,2.74023767648688,213.24279241153727,0.082016458619822,0.1852170038038462,0.1428571428571428,284.0275246528992,1.2857142857142858,0.2,0.5555555555555556,"[0.09677614690735936, 0.2759693246334791, 0.07960017584264278, 0.07020429195836186, 0.06212663883343339, 0.03870805585756898, 0.27399535197764635]","[9.166975143831223, 0.5510346489027143, 0.06428053602576256, 0.08962954021990299, 0.316053141374141, 0.027283988893032074, 0.04199269087985158]","[455, 924, 1337, 1737, 2122, 2476]",2476.0,"[0.0999516942538321, 0.6639086017385125, 0.7049414645880461, 0.7354689142666757, 0.5214681220240891, 0.7215517279691994]","[0.002297378145158291, 0.057276695035398006, 0.25272223306819797, 0.3463615751825273, 0.5158112673088908, 91.42529434198514]",5.0,380.0,380.0,OPTIMAL,108.72347042057665,0.0,0.711197429423253
40,4,130,2600,5,520,-1,10,11,4.829143499489874,[0.6413642158731818],[4.187779283616692],OPTIMAL,244.0,244.0,7,"[485, 405, 375, 310, 280, 275, 470]",0.8313139813121011,"[0.8496285438027922, 0.803939584203533, 0.6899891867400118, 0.6792132444470163, 0.6368695700872752, 0.6964234754521611, 0.6258450061301642]",0.6258450061301642,0.0505069631198872,0.004835132932163,"[0.19321810482727672, 0.2731492457497196, 0.16314592343770398, 0.2595654495126671, 0.2091858045684488, 0.24712302080422965, 0.2466194732402804]","[93.71078084122921, 110.62544452863645, 61.179721289138996, 80.4652893489268, 58.57202527916566, 67.95883072116315, 115.91115242293179]","[1.653784284836581, 1.9977519520943823, 1.6607236112367478, 1.6932266958251496, 2.9136044676168753, 2.153784284836581, 2.134451068880257]",766.2520604978985,2.913604467616876,177.8288160667064,0.0683956984871947,0.2320761342565578,0.1428571428571428,230.65070236525145,0.5714285714285714,0.2,1.25,"[0.10586968064308167, 0.06867157528176904, 0.06267297081649303, 0.05430334387347102, 0.05509010376408696, 0.4532627980224788, 0.09270131774246693]","[0.48747781198471785, 0.45674745133146644, 0.07018957380205393, 0.19018352730199695, 0.026372767984867096, 0.06760778883472085, 0.07343449676409364]","[391, 799, 1191, 1594, 1970]",1970.0,"[0.0734722949564457, 0.6684492216445506, 0.6843890049494803, 0.4860033458098769, 0.6717352969571948]","[0.0018313429318368435, 0.053257045801728964, 0.3955359132960439, 0.6552539668045938, 4.142368981149048]",4.0,258.0,258.0,OPTIMAL,11.485869552008808,5.737704918032787,0.4204421334948285
40,4,130,2600,5,520,-1,10,12,29.95176298776641,[0.6250434499233961],[29.32671953784302],OPTIMAL,281.0,281.0,7,"[445, 400, 350, 340, 305, 245, 515]",0.8485786190519399,"[0.8698355631358216, 0.807294764250239, 0.641444017606871, 0.8541811613300138, 0.7779469121554557, 0.5051064867258437, 0.6258118990426502]",0.5051064867258437,0.0409863550764365,0.0054550765206003,"[0.29471083299120904, 0.3171353501951636, 0.20732432456851752, 0.43566449432207727, 0.14496556645251557, 0.04616253672695074, 0.27925961207508787]","[131.146320681088, 126.85414007806544, 72.56351359898113, 148.12592806950627, 44.21449776801725, 11.30982149810293, 143.81870021867024]","[2.148840171987217, 2.0191224984640166, 1.8143418738480126, 2.258057507136146, 1.7468284234137144, 1.5145911641851024, 2.9369740668778705]",847.3502898500498,2.992751031273298,169.31736793761854,0.0651220645913917,0.199819802938147,0.1428571428571428,540.0980330575525,3.142857142857143,0.2,0.22727272727272727,"[0.10255050333216786, 0.0633424180559814, 0.0646223733201623, 0.060917161870747805, 0.2952811527065933, 0.041022547986358404, 0.08728484995663166]","[0.7010234198532999, 0.4848084016703069, 0.06690454017370939, 0.24835116229951382, 0.03749440424144268, 0.012633136007934809, 0.10618103062734008]","[416, 852, 1272]",1272.0,"[0.08450530376285315, 0.6347269201651216, 0.6728433631360531]","[0.002025504130870104, 0.05294641386717558, 1.5347213498316705]",2.0,342.0,342.0,OPTIMAL,6.543024873826653,21.708185053380785,4.57766301754089
40,4,130,2600,5,520,-1,10,13,20.78519579395652,[0.6337359119206667],[20.15145988203585],OPTIMAL,331.0,331.0,8,"[370, 350, 330, 320, 295, 265, 250, 420]",0.8173599875090579,"[0.7254080153250034, 0.7151095512227211, 0.8055119182649422, 0.7235415603102684, 0.7150262757647254, 0.5291294860916446, 0.5835873989661547, 0.6066857559028249]",0.5291294860916446,0.0722002202920649,0.0039476686462428,"[0.3222057180068359, 0.21221168635789664, 0.4130191235676628, 0.33464781092915163, 0.33739049067146076, 0.069805380715542, 0.2244019501105487, 0.2764719658098129]","[119.21611566252929, 74.27409022526382, 136.29631077732873, 107.08729949732853, 99.53019474808093, 18.49842588961863, 56.10048752763718, 116.11822564012144]","[2.093226695825149, 1.7189809110415086, 2.1540335751736706, 2.181325491328284, 2.149272236980058, 1.6328589569977319, 1.7734007025827705, 1.8748994628594442]",936.0186367377275,2.8980073204411534,208.89748676981912,0.0803451872191612,0.2231766319286749,0.125,222.2692296060281,0.625,0.2,1.0,"[0.32068226393312216, 0.06241595325991511, 0.05664644902572036, 0.050858322996646166, 0.05189485987648368, 0.04603764181956649, 0.04489869391545653, 0.0827077659778297]","[0.20501308888196945, 0.10330339521169662, 0.1608623811043799, 0.14313525520265102, 0.0812740558758378, 0.016130567993968725, 0.05294311698526144, 0.061680518090724945]","[445, 908, 1316, 1739]",1739.0,"[0.09384610177949071, 0.6759248021990061, 0.7103470643050969, 0.73002900602296]","[0.00228481600061059, 0.057139269076287746, 0.2854423183016479, 3.1274731140583754]",3.0,366.0,366.0,OPTIMAL,8.76644140901044,10.574018126888218,2.370995803678423
40,4,130,2600,5,520,-1,10,14,37.25096471467987,[0.6716126147657633],[36.579352099914104],OPTIMAL,317.0,317.0,6,"[520, 490, 430, 350, 325, 485]",0.8470198313217157,"[0.9018207752099886, 0.5481937877712438, 0.8629727206886976, 0.7184000232015596, 0.732394391461273, 0.6109872525217457]",0.5481937877712438,0.0286741187968442,0.0043911197771641,"[0.4234558421145131, 0.14590266212503972, 0.4283626355819762, 0.33581590182877374, 0.4161726006151518, 0.2903034708658728]","[220.1970378995468, 71.49230444126947, 184.19593330024975, 117.53556564007081, 135.25609519992435, 140.79718336994833]","[2.2771749853699355, 1.629919734601342, 2.2613335680873514, 1.9767913489263909, 2.0614000837686905, 2.3735285987978747]",1058.609984611161,2.6864533916502986,189.13586476015155,0.072744563369289,0.1786643499583508,0.1666666666666666,279.94579818212355,1.0,0.2,0.8333333333333334,"[0.11140754306688905, 0.34850219590589404, 0.07444728724658489, 0.06796294823288918, 0.06374698365107179, 0.09006432676687837]","[1.7005882672965527, 0.0502167078666389, 0.12638353975489736, 0.11669705016538501, 0.20801707915961742, 0.06617685686796904]","[384, 778, 1161, 1564]",1564.0,"[0.08728659199550748, 0.6244639046490192, 0.6740221162326634, 0.6995917935855687]","[0.002113727852702141, 0.05163541994988918, 0.12077943701297045, 13.870687864720821]",3.0,351.9999998126768,351.9999998126768,OPTIMAL,20.4869840987958,11.041009404629898,1.818274692606875
40,4,130,2600,5,520,-1,10,15,8.061389854177833,[0.6640416020527482],[7.397348252125084],OPTIMAL,313.0,313.0,6,"[495, 475, 425, 390, 365, 450]",0.8512258908199251,"[0.8967407772987112, 0.5503867161199104, 0.7920187735546564, 0.7976205140495535, 0.7661203714506513, 0.5598151621929335]",0.5503867161199104,0.0353426428538164,0.0031991192524669,"[0.427522420960283, 0.1205508739372198, 0.2539736930292272, 0.497966355771257, 0.4222331061324584, 0.1985099770405241]","[211.62359837534007, 57.26166512017941, 107.93881953742155, 194.20687875079022, 154.11508373834732, 89.32948966823584]","[2.1355549434945966, 1.9470109806617302, 2.0191224984640166, 2.774899462859444, 2.236391455213777, 1.8874524095819556]",1006.0381088314788,2.774899462859444,191.5625736411644,0.0736779129389093,0.1904128401890018,0.1666666666666666,376.1821988491166,0.8333333333333334,0.2,1.0,"[0.11615569796413183, 0.08630191627889872, 0.06571051990613341, 0.06499601900577545, 0.3275070539675653, 0.0901555810123682]","[2.4999069799669087, 0.05450455192476511, 0.10493465512990952, 0.39319791877642274, 0.06181191699579358, 0.06189699936658144]","[411, 867, 1289, 1699]",1699.0,"[0.08412256697192788, 0.6780019230209291, 0.7244121399708092, 0.7408722466789186]","[0.0018962980248034, 0.056242036167532206, 0.3731468915939331, 3.9225698369555175]",3.0,342.0,342.0,OPTIMAL,11.85006563551724,9.26517571884984,0.6802822956537965
40,4,130,2600,5,520,-1,10,16,26.378844185732305,[0.6931213489733636],[25.68572283675894],OPTIMAL,331.0,331.0,6,"[520, 470, 455, 435, 370, 350]",0.8541417950439355,"[0.9275434312641018, 0.8905767329713334, 0.7825859363151437, 0.4574252484945634, 0.7133774863557698, 0.5479403755965758]",0.4574252484945634,0.0451141132559922,0.003899354551301,"[0.33430862999253963, 0.5068337579058912, 0.3639326425232041, 0.11937652544660352, 0.32914909523635233, 0.21167978821070543]","[173.8404875961206, 238.2118662157689, 165.58935234805787, 51.92878856927253, 121.78516523745037, 74.0879258737469]","[1.9326883932361092, 2.5191224984640166, 2.3354570518708755, 1.8027879450571576, 1.9653382136274355, 2.1542828655107606]",1007.528334282501,2.5191224984640166,182.08474844208365,0.0700325955546475,0.1807241962793754,0.1666666666666666,389.6860688593176,0.8333333333333334,0.2,1.0,"[0.11974576534703374, 0.08098277496173978, 0.3402220909483731, 0.08660265011712909, 0.06343098869547248, 0.07150658033788204]","[0.7571358978748322, 1.33756072120741, 0.6239461950026453, 0.03205796889960766, 0.1468802229501307, 0.02720688795670867]","[388, 823, 1234, 1641, 2025, 2415]",2415.0,"[0.08627271093428135, 0.6563850739039481, 0.6962146479636431, 0.7249518036842346, 0.7389110908843577, 0.7353258826769888]","[0.001930801197886467, 0.05382905201986432, 0.28637804090976715, 0.4458011440001428, 0.6062447349540889, 31.34380337782204]",5.0,331.0,331.0,OPTIMAL,41.5801746211946,0.0,0.6344091727860676
40,4,130,2600,5,520,-1,10,17,4.761409835889936,[0.9377819667570293],[3.823627869132906],OPTIMAL,254.0,254.0,7,"[485, 470, 410, 320, 270, 265, 380]",0.8281070086105611,"[0.5672970356207274, 0.819149620105366, 0.8508428872053319, 0.725158639225008, 0.6923242240852018, 0.6181170761334462, 0.6542511892783109]",0.5672970356207274,0.0593266964935225,0.0066390668957017,"[0.17849405731242726, 0.321397590462537, 0.28520640991978796, 0.31149883137273165, 0.29390192138317867, 0.15716476619272185, 0.18702530318885027]","[86.56961779652723, 151.0568675173924, 116.93462806711307, 99.67962603927413, 79.35351877345823, 41.64866304107129, 71.06961521176311]","[2.065531035227642, 2.2811528972193877, 2.208926805599382, 2.3282862745742863, 2.0191224984640166, 1.5768921424182905, 1.8748994628594438]",836.9537847824311,2.353977106436788,190.64124833583173,0.0733235570522429,0.2277798987254257,0.1428571428571428,269.0188753951551,0.7142857142857143,0.2,1.0,"[0.12563999323174357, 0.08316820999607444, 0.06397782592102885, 0.05488523794338107, 0.045793356373906136, 0.32042905129492283, 0.06787551287561655]","[0.03853155393153429, 0.2547363452613354, 0.0734189348295331, 0.1576864318922162, 0.06252141110599041, 0.04273540899157524, 0.06016230722889304]","[400, 832, 1223]",1223.0,"[0.08310312824323773, 0.6560769188217819, 0.7033155057579279]","[0.0020262920297682285, 0.05407730815932155, 1.2188388570211828]",2.0,317.0,317.0,OPTIMAL,5.3975146831944585,24.80314960629921,0.8821485656565086
40,4,130,2600,5,520,-1,10,18,14.520730228163302,[0.661327401176095],[13.859402826987207],OPTIMAL,316.0,316.0,6,"[500, 495, 375, 370, 355, 505]",0.8603649947222614,"[0.8751578534192436, 0.8801212055691241, 0.741607371154613, 0.7299888592413674, 0.6433495602872489, 0.6488402635402616]",0.6433495602872489,0.0535312569484978,0.0040056874345874,"[0.32764406987219863, 0.38271808154205494, 0.2533575801843519, 0.34132517131946827, 0.2630763860586448, 0.31485469849278996]","[163.82203493609933, 189.4454503633172, 95.00909256913197, 126.29031338820326, 93.39211705081891, 159.00162273885894]","[2.330676427254871, 2.2258958026388673, 2.2191224984640163, 2.495257948228778, 2.2191224984640163, 2.5221322555440637]",1016.9282447206614,2.522132255544064,189.96761367423176,0.0730644667977814,0.1868053273770824,0.1666666666666666,422.05498059437366,1.1666666666666667,0.2,0.7142857142857143,"[0.11833874695003033, 0.08848023228347301, 0.3288419609889388, 0.059937027748674154, 0.06622164789587259, 0.09071927005425096]","[0.46903508389368653, 0.1697034677490592, 0.0669002328068018, 0.39078562892973423, 0.0668762749992311, 0.08107951283454895]","[369, 812, 1208]",1208.0,"[0.07617148291319609, 0.6323943790048361, 0.6676831399090588]","[0.0018529822118580341, 0.08279976714402437, 0.8786301868967712]",2.0,369.99999938698375,369.99999938698375,OPTIMAL,5.568599893245846,17.088607400944223,2.6076088256539123
40,4,130,2600,5,520,-1,10,19,27.80467851413414,[0.8310937639325857],[26.973584750201553],OPTIMAL,334.0,334.0,7,"[465, 455, 450, 370, 325, 305, 230]",0.85975338132881,"[0.8810214137477244, 0.8675169479700213, 0.5974759567048105, 0.7087069212887274, 0.7888381215559226, 0.678658424759984, 0.6271485439313869]",0.5974759567048105,0.0630019672874534,0.0045557268449713,"[0.450032326362701, 0.3248507291206431, 0.18200656024312942, 0.3192276735280189, 0.6089462064465315, 0.33756785792173594, 0.12742755327963548]","[209.26503175865597, 147.8070817498926, 81.90295210940823, 118.114239205367, 197.90751709512276, 102.95819666612947, 29.308337254316157]","[2.03896311673678, 2.164574400860464, 1.7306764272548711, 2.052264201231911, 2.9621370863559173, 1.8426096097974747, 1.626165530640559]",1094.0618770841772,2.9621370863559173,206.7985212452851,0.0795378927866481,0.1890190359216629,0.1428571428571428,225.58138070820945,1.0,0.2,0.7142857142857143,"[0.10803426103666425, 0.0797968409024179, 0.08705649012699723, 0.333418017718941, 0.05517887603491545, 0.051879574079066515, 0.03794230101630092]","[1.5102319498546422, 0.3605538527481258, 0.131980050355196, 0.06801875634118915, 0.15639270097017288, 0.21589294401928782, 0.02856905898079276]","[348, 809, 1226, 1635, 2024, 2412]",2412.0,"[0.07470614975318313, 0.6452433508820832, 0.6947363507933915, 0.7217458789236844, 0.7334594870917499, 0.7264426439069211]","[0.001871646847575903, 0.05278185894712806, 0.8067085826769471, 1.288724202197045, 2.636231157928705, 18.81101114116609]",5.0,334.0,334.0,OPTIMAL,31.93018244067207,0.0,0.8707961054026756
